memory_state,task,task_label,memory_skill_vs_backbone,rmse_z
0,0,2005–2010,0.016650022010037402,0.9031444481468315
0,1,2011–2016,0.01870846832926165,0.9078964535997397
0,2,2017–2022,0.01702489372584437,0.9157713867447795
1,0,2005–2010,0.01772760124796835,0.9026494684900629
1,1,2011–2016,0.018247236922297905,0.9081097954818153
1,2,2017–2022,0.016176055826846003,0.9161667038342299
2,0,2005–2010,0.014903662432854348,0.903946052538768
2,1,2011–2016,0.019189639124741698,0.907673835341067
2,2,2017–2022,0.015133207817105365,0.9166521410802682
3,0,2005–2010,0.016028811519779085,0.9034296742815835
3,1,2011–2016,0.01888820666062141,0.9078133023335626
3,2,2017–2022,0.017932276987753015,0.9153486153669069
