missing_fraction,method,rmse_z,mae_z,masked_values
0.1,Seasonal mean,1.0833226442337036,0.8445102572441101,7970
0.1,Last observation,0.5665351152420044,0.37217798829078674,7970
0.1,PMWM imputation head,0.42004096508026123,0.2882062494754791,7970
0.3,Seasonal mean,1.0973846912384033,0.8502196669578552,23790
0.3,Last observation,0.5780676007270813,0.3792744278907776,23790
0.3,PMWM imputation head,0.43443548679351807,0.2961857318878174,23790
0.5,Seasonal mean,1.0946990251541138,0.8482232689857483,39963
0.5,Last observation,0.5757738947868347,0.3803461492061615,39963
0.5,PMWM imputation head,0.4376954138278961,0.29931020736694336,39963
0.7,Seasonal mean,1.0989748239517212,0.848678708076477,55905
0.7,Last observation,0.5788395404815674,0.38073885440826416,55905
0.7,PMWM imputation head,0.44521528482437134,0.30205777287483215,55905
