site,zone,model,rmse_z,acc
Seoul,continental,Neural backbone,0.9589249491691589,0.5563442713276935
Seoul,continental,PMWM (full),0.9555736780166626,0.5597461945347699
New York,temperate,Neural backbone,0.991469144821167,0.5266155973027611
New York,temperate,PMWM (full),0.9831329584121704,0.5352699136663059
London,temperate,Neural backbone,0.8656972646713257,0.5804796778905144
London,temperate,PMWM (full),0.8586018085479736,0.5881016857984349
Sydney,temperate,Neural backbone,0.9445174932479858,0.5693961360855911
Sydney,temperate,PMWM (full),0.9407299160957336,0.5716390034978291
Sao Paulo,tropical,Neural backbone,0.8621088862419128,0.5798622102821118
Sao Paulo,tropical,PMWM (full),0.8527654409408569,0.5885169215250097
Delhi,arid,Neural backbone,0.8804483413696289,0.5947609485716752
Delhi,arid,PMWM (full),0.8671002984046936,0.6086259812765312
Cairo,arid,Neural backbone,0.958694577217102,0.6122572220998442
Cairo,arid,PMWM (full),0.9410319328308105,0.6255538166970935
Tokyo,temperate,Neural backbone,0.9018135070800781,0.5518677230627685
Tokyo,temperate,PMWM (full),0.8987030386924744,0.5556525948726873
Mexico City,temperate,Neural backbone,0.9308047890663147,0.61856749935437
Mexico City,temperate,PMWM (full),0.9210862517356873,0.6261139712462135
Nairobi,tropical,Neural backbone,0.8754866719245911,0.6153823924504622
Nairobi,tropical,PMWM (full),0.862889289855957,0.620969279781037
Reykjavik,temperate,Neural backbone,0.84662264585495,0.5835251768941618
Reykjavik,temperate,PMWM (full),0.8415225744247437,0.5876824087327758
Buenos Aires,temperate,Neural backbone,0.9920338988304138,0.5397808553492179
Buenos Aires,temperate,PMWM (full),0.9850157499313354,0.5456391165670142
