model,site,zone,rmse_z,mae_z,adaptation_temperature,adaptation_gate_mean
Backbone zero-shot,Singapore,tropical,0.9422920346260071,0.732371985912323,0.2,0.5196163654327393
Backbone zero-shot,Dubai,arid,0.976229190826416,0.6080188155174255,0.2,0.5196163654327393
Backbone zero-shot,Paris,temperate,0.8686568737030029,0.6194323897361755,0.2,0.5196163654327393
Backbone zero-shot,Moscow,continental,0.8735837936401367,0.6323538422584534,0.2,0.5196163654327393
PMWM zero-shot,Singapore,tropical,0.9552649259567261,0.7432575225830078,0.2,0.5196163654327393
PMWM zero-shot,Dubai,arid,0.9754626750946045,0.6161821484565735,0.2,0.5196163654327393
PMWM zero-shot,Paris,temperate,0.8652170300483704,0.6195423603057861,0.2,0.5196163654327393
PMWM zero-shot,Moscow,continental,0.8767191767692566,0.6386334300041199,0.2,0.5196163654327393
PMWM + 1-year memory,Singapore,tropical,0.9151690006256104,0.7100686430931091,0.2,0.5196163654327393
PMWM + 1-year memory,Dubai,arid,0.93312668800354,0.5639349818229675,0.2,0.5196163654327393
PMWM + 1-year memory,Paris,temperate,0.8611934781074524,0.6115255951881409,0.2,0.5196163654327393
PMWM + 1-year memory,Moscow,continental,0.8625991940498352,0.6193016171455383,0.2,0.5196163654327393
