epoch,train_loss,train_forecast_loss,train_imputation_mse,validation_loss,validation_rmse_z,validation_mae_z,learning_rate,epoch_seconds
1.0,0.5381977216570408,0.45431281722985306,0.46602723002433777,0.33234437503093894,0.9479305771381317,0.689367238172265,0.0009874639560909118,19.827618120005354
2.0,0.442727601566872,0.3795753053643487,0.3508460739409769,0.29441231168633286,0.9350442319032618,0.6751024355722028,0.0009504844339512096,17.24332913699618
3.0,0.41455845225166965,0.3562253101112007,0.32407299777517073,0.278523696629807,0.9280120785097502,0.6667839371880819,0.0008909157412340151,16.942726007997408
4.0,0.39663198096798613,0.34132896470172064,0.3072389710646171,0.2626545384612887,0.9227040994089238,0.6626154884349468,0.0008117449009293669,15.995305042000837
5.0,0.38353905381707404,0.3300582829427409,0.29711538475829286,0.24764869864596878,0.9184028161720156,0.6584614037081252,0.0007169418695587792,17.474629693009774
6.0,0.37216287570727336,0.3206880830905654,0.2859710610725663,0.2363005542347944,0.9157374819400136,0.6531959494879079,0.0006112604669781573,18.26389978500083
7.0,0.36486785181544046,0.3146775246343829,0.27883514379719637,0.23053882444320722,0.9137684177074936,0.6510460376739502,0.0005,16.705534207998426
8.0,0.35864325283796755,0.30939919656360304,0.27357808132837347,0.22638659222527993,0.9129550964862047,0.6529958740223286,0.00038873953302184284,17.04230727000686
9.0,0.3530388108708642,0.3048084657881167,0.26794635064222594,0.21751065664859706,0.9092852522344687,0.6476206377495167,0.000283058130441221,17.10644040501211
10.0,0.34944329604312974,0.30148358096356515,0.2664428496031792,0.2153937506467797,0.9089588966999772,0.6472757853740869,0.00018825509907063328,17.701193086002604
11.0,0.34625524205046815,0.29874694550579245,0.2639349691763327,0.21194840300568316,0.9080208735026669,0.6463142855222835,0.00010908425876598528,15.39602476800792
12.0,0.34372159741915664,0.29681978132817655,0.26056563351061435,0.21038735744565032,0.9079498006399556,0.6463177564532258,4.951556604879049e-05,13.255250561996945
13.0,0.34215206198104015,0.29544229631300095,0.2594986819214635,0.20822582933185405,0.9076042549348616,0.6448879408281903,1.2536043909088137e-05,11.604964748999919
14.0,0.34225663039591403,0.2952813556442013,0.26097373930471285,0.207975551117818,0.9074871147359572,0.6451344219751136,0.0,10.55217853699287
